Wind Tunnel Setting (%)	avgHotWireTemperature	avgHotWireVelocity	avgPitotCalculatedVelocity	avgPitotCalculatedVelocityRaw	avgPitotPressureRaw	avgPitotPressureZero	avgPitotTemperature	avgPitotVelocity	calibrationSensorIndexEnd	calibrationSensorIndexStart	calibrationTimeEnd	calibrationTimeStart	middleTime	startingIndex	startingTime		Calibrated Pitot Velocity	Error in Calibrated Velocity
0	23.92525253	0	5.112413343	37.40954168	0.022474745	0.000419742	24.38525251	13.61417474	220	121	1556649912	1556649902	1556649907	0	1556649892		5.77821816	nan
1	23.93	11.88	20.60716638	42.40209645	0.028875003	0.006819993	24.37335005	39.44352272	520	420	1556649942	1556649932	1556649937	597	1556649922		22.94510032	93.14%
2	23.81010101	21.88888889	25.99870872	45.26556761	0.032912464	0.010857454	24.32055565	43.33274154	819	720	1556649972	1556649962	1556649967	1193	1556649952		28.79652176	31.56%
3	23.666	38.9	35.81703581	51.53205725	0.042666666	0.020611663	24.24569996	50.2907031	1119	1019	1556650003	1556649993	1556649998	1789	1556649982		39.29058937	1.00%
4	23.52020202	43.06060606	38.83819021	53.67279503	0.046296296	0.024241293	24.17444429	52.46786876	1418	1319	1556650033	1556650023	1556650028	2385	1556650013		42.47766407	-1.35%
5	 data window	63.23232323	56.122799	67.24461593	0.072685183	0.050630183	24.11075773	64.80717013	1718	1619	1556650063	1556650053	1556650058	2982	1556650043		60.33143373	-4.59%
6	23.223	70.48	63.22866192	73.27755546	0.086333337	0.064278327	24.03840015	69.83835893	2018	1918	1556650093	1556650083	1556650088	3579	1556650073		67.48358691	-4.25%
7	23.1	80	75.34245839	83.95197025	0.113341752	0.091286742	23.97575755	78.46857202	2317	2218	1556650123	1556650113	1556650118	4175	1556650103		79.42415449	-0.72%
8	23	88.48	86.34094324	93.94671963	0.141958334	0.119903326	23.92820005	86.27676767	2617	2517	1556650153	1556650143	1556650148	4772	1556650133		89.99006595	1.71%
9	22.91	98	96.18456758	103.0656653	0.170874999	0.148819999	23.89204993	93.2791946	2917	2817	1556650183	1556650173	1556650178	5368	1556650163		99.22435166	1.25%
10	22.9	96.8	95.043859	102.0015244	0.167374998	0.145319998	23.87374992	92.45528269	3217	3117	1556650214	1556650204	1556650209	5965	1556650193		98.16500634	1.41%
11	22.9	107.76	105.3072711	111.6269179	0.200458335	0.178403335	23.86760004	99.76221703	3517	3417	1556650244	1556650234	1556650239	6562	1556650224		107.5949612	-0.15%
12	22.87575758	114.8080808	113.5216903	119.4073548	0.229377105	0.207322105	23.86646437	105.599707	3816	3717	1556650274	1556650264	1556650269	7159	1556650254		114.9779352	0.15%
13	22.9	124	123.0142693	128.4659987	0.265488219	0.243433219	23.87949486	112.342511	4116	4017	1556650304	1556650294	1556650299	7756	1556650284		123.3276637	-0.54%
14	22.9	142.1111111	143.8520889	148.5412831	0.354924237	0.332869237	23.89833327	127.148477	4416	4317	1556650334	1556650324	1556650329	8353	1556650314		140.9722685	-0.80%
15	22.9	151	154.7146932	159.0842785	0.407070706	0.385015706	23.91611121	134.8694539	4716	4617	1556650364	1556650354	1556650359	8950	1556650344		149.79735	-0.80%
16	22.9	165.6666667	173.2102176	177.12443	0.504587539	0.482532539	23.94055569	148.0096634	5016	4917	1556650394	1556650384	1556650389	9547	1556650374		164.2355759	-0.86%
17	22.925	173.54	184.0783808	187.7664481	0.566999996	0.544944966	23.96279987	155.7324471	5316	5216	1556650425	1556650415	1556650420	10143	1556650404		172.3740175	-0.67%
18	22.92525253	187	203.4577024	206.800589	0.687752524	0.665697494	23.97540397	169.5047466	5615	5516	1556650455	1556650445	1556650450	10740	1556650435		186.2510806	-0.40%
19	22.92020202	196.9090909	222.4436877	225.5054154	0.817760938	0.795705908	23.98651504	182.9946313	5915	5816	1556650485	1556650475	1556650480	11336	1556650465		199.0576389	1.09%
20	22.91010101	220	259.281877	261.9132671	1.103156556	1.081101521	23.97984845	209.17032	6215	6116	1556650515	1556650505	1556650510	11933	1556650495		221.6788831	0.76%
21	22.93030303	227.5151515	269.3219025	271.8561157	1.188510106	1.166455061	23.9781312	216.3051846	6515	6416	1556650545	1556650535	1556650540	12530	1556650525		227.3344525	-0.08%
22	22.91919192	232.8888889	277.6041592	280.0635052	1.261321561	1.239266519	23.98626257	222.1902505	6815	6716	1556650575	1556650565	1556650570	13127	1556650555		231.8355247	-0.45%
23	22.953	233.12	278.0894796	280.5446382	1.265625017	1.243569964	23.99424991	222.5350356	7115	7015	1556650605	1556650595	1556650600	13723	1556650585		232.0946686	-0.44%
24	22.975	236	285.3198126	287.7133654	1.331083342	1.309028297	24.00514993	227.6699151	7415	7315	1556650636	1556650626	1556650631	14320	1556650615		235.894994	-0.04%
25	23	240	294.1312071	296.4537238	1.413125	1.391069954	24.01774999	233.9324092	7715	7615	1556650666	1556650656	1556650661	14917	1556650646		240.3732597	0.16%
26	22.98383838	253.1010101	323.1436755	325.2590795	1.701094268	1.679039235	24.01585868	254.5292978	8014	7915	1556650696	1556650686	1556650691	15514	1556650676		253.9300107	0.33%
27	22.94747475	283.2222222	369.9298397	371.7789545	2.22268518	2.200630252	23.98929292	287.7924383	8314	8215	1556650726	1556650716	1556650721	16111	1556650706		274.8697642	-2.95%
28	22.913	297.78	390.9952773	392.7450698	2.48066667	2.45861174	23.96289991	302.761166	8614	8514	1556650756	1556650746	1556650751	16707	1556650736		290.5220616	-2.44%
29	22.90909091	309.1010101	404.8599469	406.5499887	2.658249149	2.636194227	23.94863653	312.6126394	8914	8815	1556650786	1556650776	1556650781	17304	1556650766		300.8239568	-2.68%
30	22.9	319.9393939	422.7265136	424.3452929	2.896254209	2.874199274	23.92803045	325.3076134	9214	9115	1556650816	1556650806	1556650811	17901	1556650796		314.0993902	-1.83%
31	22.83232323	334	442.1760691	443.723685	3.16725589	3.145200959	23.88696951	339.1280968	9514	9415	1556650847	1556650837	1556650842	18498	1556650827		328.5510353	-1.63%
32	22.87575758	341.7373737	454.9588894	456.4631141	3.351851853	3.329796923	23.87636357	348.2111084	9814	9715	1556650877	1556650867	1556650872	19095	1556650857		338.0490818	-1.08%
33	22.836	355	474.4187103	475.861392	3.64287499	3.620820071	23.86960004	362.037781	10114	10014	1556650907	1556650897	1556650902	19692	1556650887		352.5083543	-0.70%
34	22.86060606	369.6969697	494.0559161	495.4413766	3.948947813	3.926892888	23.86035354	375.9913619	10413	10314	1556650937	1556650927	1556650932	20288	1556650917		367.0994296	-0.70%
35	22.85959596	370.5050505	493.0719935	494.4601769	3.933417517	3.911362595	23.85313128	375.2925519	10713	10614	1556650967	1556650957	1556650962	20885	1556650947		366.3683434	-1.12%
36	22.889	382.98	512.3169814	513.653194	4.244624966	4.222569835	23.85864989	388.9666532	11013	10913	1556650997	1556650987	1556650992	21481	1556650977		380.6679882	-0.60%
37	22.806	401.62	530.2826646	531.573651	4.546208329	4.524153187	23.84284995	401.7329633	11313	11213	1556651027	1556651017	1556651022	22078	1556651007		394.0170684	-1.89%
38	22.865	411.76	540.3383667	541.6054183	4.719291653	4.697236514	23.85079986	408.8779724	11613	11513	1556651058	1556651048	1556651053	22675	1556651038		401.4887783	-2.49%
39	22.9	427.3030303	558.0735851	559.3005328	5.032407404	5.010352257	23.86823236	421.4797379	11912	11813	1556651088	1556651078	1556651083	23272	1556651068		414.6666158	-2.96%
40	22.9	437.0909091	569.0659823	570.2693569	5.231397326	5.209342175	23.88717164	429.290521	12212	12113	1556651118	1556651108	1556651113	23868	1556651098		422.8343203	-3.26%
41	22.9	451.8787879	586.9602087	588.1269665	5.564183515	5.542128363	23.88606049	442.0035818	12512	12413	1556651148	1556651138	1556651143	24465	1556651128		436.1303058	-3.49%
42	22.94040404	462.1818182	603.9110543	605.0452343	5.888341744	5.866286601	23.91474748	454.0462688	12812	12713	1556651178	1556651168	1556651173	25062	1556651158		448.7253291	-2.91%
43	22.95	461.62	604.053396	605.1873863	5.890708322	5.868653178	23.93495017	454.1479582	13112	13012	1556651208	1556651198	1556651203	25659	1556651188		448.8310936	-2.77%
44	22.946	475.4	625.9675464	627.0619216	6.32416666	6.302111511	23.93860015	469.7085966	13412	13312	1556651238	1556651228	1556651233	26255	1556651218		465.1140118	-2.16%
45	23	488.3	641.5794864	642.6473136	6.642208323	6.620153184	23.94909995	480.8032244	13712	13612	1556651269	1556651259	1556651264	26852	1556651249		476.7141852	-2.37%
46	23	496.9	651.5301149	652.5816196	6.849416651	6.827361506	23.9376	487.8709694	14012	13912	1556651299	1556651289	1556651294	27449	1556651279		484.1078221	-2.57%
47	22.93636364	505.7272727	667.7478564	668.7737754	7.194149852	7.172094698	23.91222222	499.3996418	14311	14212	1556651329	1556651319	1556651324	28046	1556651309		496.1581254	-1.89%
48	22.99292929	516.5959596	690.7725714	691.7643462	7.697264305	7.675209162	23.91287884	515.7442416	14611	14512	1556651359	1556651349	1556651354	28643	1556651339		513.2662289	-0.64%
49	23	521	698.1817466	699.1630192	7.86270834	7.840653266	23.91615003	521.0150617	14911	14811	1556651389	1556651379	1556651384	29239	1556651369		518.7714843	-0.43%
50	23	532.9	712.6255911	713.5870155	8.190249996	8.168195219	23.92434995	531.2785299	15211	15111	1556651419	1556651409	1556651414	29836	1556651399		529.5037251	-0.64%
51	22.93	539.18	726.4572063	727.4002985	8.51083334	8.48877864	23.90939995	541.1116265	15511	15411	1556651449	1556651439	1556651444	30433	1556651429		539.7810599	0.11%
52	22.92	542.1	733.7674399	734.7011568	8.682458364	8.660403664	23.91204993	546.3038897	15811	15711	1556651480	1556651470	1556651475	31030	1556651460		545.2127984	0.57%
53	22.9	549.9494949	748.8641528	749.7790717	9.042466317	9.020411617	23.91272733	557.0336096	16110	16011	1556651510	1556651500	1556651505	31627	1556651490		556.4301415	1.18%
54	22.94	555.9	758.6956942	759.5987955	9.28062499	9.25857029	23.92064996	564.0216504	16410	16310	1556651540	1556651530	1556651535	32224	1556651520		563.7352929	1.41%
55	22.9	569.28	774.9751293	775.8591256	9.683916724	9.661862024	23.86825001	575.594876	16710	16610	1556651570	1556651560	1556651565	32820	1556651550		575.8314365	1.15%
56	22.905	582.58	789.7496171	790.6171444	10.05520831	10.03315369	23.88649993	586.0929947	17010	16910	1556651600	1556651590	1556651595	33417	1556651580		586.809356	0.73%
57	22.88	591.88	798.6668185	799.5246006	10.28387492	10.26182034	23.8628999	592.4300422	17310	17210	1556651630	1556651620	1556651625	34014	1556651610		593.4351233	0.26%
58	22.912	605.24	815.8368838	816.6767268	10.72862493	10.70657036	23.89669995	604.6308087	17610	17510	1556651661	1556651651	1556651656	34611	1556651640		606.1930338	0.16%
59	22.94	614	829.5404863	830.3665113	11.09074994	11.06869539	23.91204999	614.3677418	17910	17810	1556651691	1556651681	1556651686	35208	1556651671		616.375251	0.39%
60	22.94	628.7	845.8917663	846.7018138	11.5317917	11.50973711	23.90209997	625.9859893	18210	18110	1556651721	1556651711	1556651716	35805	1556651701		628.5247778	-0.03%
61	22.865	635.04	853.3521586	854.1550657	11.73670839	11.71465371	23.87674999	631.2867803	18510	18410	1556651751	1556651741	1556651746	36402	1556651731		634.0680891	-0.15%
62	22.883	646.1	869.8070194	870.5946802	12.19387498	12.17182042	23.85154997	642.97618	18810	18710	1556651781	1556651771	1556651776	36999	1556651761		646.2945797	0.03%
63	22.98282828	656.3131313	885.229493	886.003559	12.62744106	12.60538652	23.89621195	653.9359748	19109	19010	1556651811	1556651801	1556651806	37596	1556651791		657.7539734	0.22%
64	23	661	893.3409341	894.1080278	12.85867002	12.83661547	23.91560611	659.6954034	19409	19310	1556651841	1556651831	1556651836	38193	1556651821		663.781035	0.42%
65	23	669.2	907.4749506	908.2300873	13.2684166	13.24636205	23.90789991	669.7427834	19709	19609	1556651872	1556651862	1556651867	38789	1556651851		674.2830636	0.76%
66	23.02	682.5	924.4161524	925.1575222	13.76654168	13.74448704	23.93105008	681.7784994	20009	19909	1556651902	1556651892	1556651897	39386	1556651882		686.8709212	0.64%
67	22.95959596	692.6464646	939.5484183	940.2779102	14.21910773	14.19705318	23.95404048	692.5322094	20308	20209	1556651932	1556651922	1556651927	39982	1556651912		698.1146813	0.79%
68	22.933	697.06	945.4361384	946.1609996	14.39945839	14.37740377	23.91560008	696.7192282	20609	20509	1556651962	1556651952	1556651957	40579	1556651942		702.4894466	0.78%
69	22.86767677	706.3232323	958.9233706	959.6378835	14.81590914	14.79385454	23.84893921	706.3035159	20908	20809	1556651992	1556651982	1556651987	41176	1556651972		712.5108937	0.88%
70	22.92525253	715.959596	975.556857	976.2591815	15.3338804	15.31182584	23.84328273	718.1213003	21208	21109	1556652022	1556652012	1556652017	41773	1556652002		724.8701089	1.24%
71	22.96565657	732.6262626	994.6720197	995.360901	15.93876268	15.91670813	23.86267677	731.7052675	21508	21409	1556652052	1556652042	1556652047	42369	1556652032		739.0732893	0.88%
72	22.84	739.6	1006.973937	1007.654389	16.33541666	16.31336205	23.85339992	740.4437989	21808	21708	1556652083	1556652073	1556652078	42966	1556652062		748.2140092	1.16%
73	22.9	751	1025.554435	1026.222537	16.94370816	16.9216536	23.84084987	753.6480709	22108	22008	1556652113	1556652103	1556652108	43563	1556652093		762.0199165	1.47%
74	22.9	761.5050505	1031.754667	1032.41875	17.14915822	17.12710359	23.83696967	758.0547546	22407	22308	1556652143	1556652133	1556652138	44159	1556652123		766.6268881	0.67%
75	22.83434343	773.4242424	1042.868409	1043.525362	17.52163296	17.49957833	23.81131314	765.9524055	22707	22608	1556652173	1556652163	1556652168	44755	1556652153		774.8847558	0.19%
76	22.84949495	785.2828283	1056.477044	1057.125546	17.98114481	17.95909022	23.81429311	775.6189781	23007	22908	1556652203	1556652193	1556652198	45352	1556652183		784.9964094	-0.04%
77	22.91	806.8	1078.223602	1078.859077	18.72674989	18.70469534	23.83564982	791.0733673	23307	23207	1556652233	1556652223	1556652228	45948	1556652213		801.1548009	-0.70%
78	22.85959596	815.5555556	1091.663544	1092.291127	19.19819033	19.17613576	23.8011111	800.6235653	23606	23507	1556652263	1556652253	1556652258	46545	1556652243		811.14111	-0.54%
79	22.85454545	828.3232323	1103.71791	1104.338611	19.6250421	19.60298755	23.7856566	809.1861876	23906	23807	1556652293	1556652283	1556652288	47141	1556652273		820.0978917	-0.99%
80	22.9	844.66	1124.893656	1125.502739	20.38250003	20.36044537	23.81419996	824.2351666	24206	24106	1556652324	1556652314	1556652319	47738	1556652304		835.8321514	-1.05%
81	22.9	854.1010101	1138.75965	1139.361332	20.88712123	20.86506662	23.82015152	834.0844148	24506	24407	1556652354	1556652344	1556652349	48335	1556652334		846.135031	-0.93%
82	22.9	865.8	1153.428501	1154.022561	21.42720826	21.40515362	23.83290004	844.5114308	24806	24706	1556652384	1556652374	1556652379	48932	1556652364		857.034459	-1.01%
83	22.882	877.35	1174.049188	1174.632785	22.20066666	22.17861207	23.81594988	859.16355	25106	25006	1556652414	1556652404	1556652409	49529	1556652394		872.3562922	-0.57%
84	22.917	885.86	1185.371992	1185.950087	22.62775006	22.60569551	23.85234991	867.2049661	25406	25306	1556652444	1556652434	1556652439	50126	1556652424		880.7695001	-0.57%
85	22.91	898.52	1203.597084	1204.166424	23.32845821	23.30640367	23.84929985	880.1562489	25706	25606	1556652474	1556652464	1556652469	50723	1556652454		894.3113293	-0.47%
86	22.9	908.5	1218.260064	1218.822543	23.90037495	23.8783203	23.84194995	890.5758919	26006	25906	1556652505	1556652495	1556652500	51320	1556652484		905.2063946	-0.36%
87	22.915	922.02	1237.463295	1238.017047	24.65916672	24.63711209	23.84099993	904.2231061	26306	26206	1556652535	1556652525	1556652530	51917	1556652515		919.4750129	-0.28%
88	22.92424242	927.3636364	1248.390256	1248.939146	25.09701189	25.07495722	23.83121208	911.9873173	26605	26506	1556652565	1556652555	1556652560	52513	1556652545		927.594096	0.02%
89	22.9	939.8989899	1269.364869	1269.90468	25.94713805	25.92508352	23.82590914	926.8913834	26905	26806	1556652595	1556652585	1556652590	53110	1556652575		943.1789074	0.35%
90	23	948.1616162	1280.688509	1281.223592	26.40972229	26.38766767	23.84863642	934.9356661	27205	27106	1556652625	1556652615	1556652620	53707	1556652605		951.5927361	0.36%
91	22.95050505	964.1010101	1304.497684	1305.022992	27.40067347	27.37861885	23.84116147	951.8537264	27505	27406	1556652655	1556652645	1556652650	54304	1556652635		969.2837189	0.54%
92	22.93535354	969.5757576	1311.580585	1312.103035	27.6999578	27.67790317	23.82863625	956.8836159	27805	27706	1556652685	1556652675	1556652680	54901	1556652665		974.5465419	0.51%
93	23.005	979.58	1328.740623	1329.256343	28.42804171	28.40598715	23.83804987	969.0786852	28105	28005	1556652716	1556652706	1556652711	55498	1556652696		987.2970016	0.79%
94	22.967	990.1	1349.314976	1349.822817	29.31570837	29.29365376	23.82615005	983.6984798	28405	28305	1556652746	1556652736	1556652741	56095	1556652726		1002.584408	1.26%
95	22.959	1013.02	1364.6627	1365.164858	29.98433331	29.96227869	23.84164986	994.6046174	28705	28605	1556652776	1556652766	1556652771	56692	1556652756		1013.98826	0.10%
96	22.945	1023.1	1379.72659	1380.223248	30.65054172	30.62848715	23.83119999	1005.306585	29005	28905	1556652806	1556652796	1556652801	57289	1556652786		1025.181214	0.20%
97	22.955	1032.2	1394.911328	1395.402564	31.32970838	31.30765372	23.81899986	1016.095631	29305	29205	1556652836	1556652826	1556652831	57886	1556652816		1036.463963	0.41%
98	22.95	1041.28	1409.159058	1409.645333	31.97345823	31.95140275	23.81040003	1026.219562	29605	29505	1556652866	1556652856	1556652861	58483	1556652846		1047.050485	0.55%
99	22.9	1056	1429.260409	1429.7398	32.896375	32.87431841	23.76655011	1040.502797	29905	29805	1556652897	1556652887	1556652892	59080	1556652876		1061.986434	0.57%
100	22.9	1057.48	1430.800974	1431.2798	32.97074992	32.94869329	23.73530005	1041.597519	30204	30104	1556652927	1556652917	1556652922	59677	1556652907		1063.131124	0.53%
